city,country,latitude,longitude,timestamp_utc,aqi_owm,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2026-07-18T07:01:20+00:00,1,163.12,0.07,0.39,56.44,0.45,8.48,10.8,1.06
New Delhi,IN,28.6139,77.209,2026-07-18T07:01:20+00:00,2,119.41,0.12,2.68,62.6,1.17,12.39,41.43,5.01
Beijing,CN,39.9042,116.4074,2026-07-18T07:01:21+00:00,4,191.9,0.11,2.78,157.55,9.06,69.02,71.68,5.89
Paris,FR,48.8566,2.3522,2026-07-18T07:01:21+00:00,1,115.97,0.73,4.06,58.31,0.85,5.74,8.61,4.78
Los Angeles,US,34.0522,-118.2437,2026-07-18T07:01:22+00:00,2,93.13,0,0.53,80.84,0.99,8.17,22.93,0
Los Angeles,US,34.0522,-118.2437,2026-07-27T05:00:08+00:00,2,77.03,0,0.52,70.13,0.9,5.64,19.16,0
Antananarivo,MG,-18.8792,47.5079,2026-07-27T05:01:32+00:00,1,153.92,0.1,0.85,36.86,0.25,5.84,8.16,0.63
New Delhi,IN,28.6139,77.209,2026-07-27T05:01:32+00:00,2,177.16,0.22,1.93,80.19,0.76,11.52,15.53,2.85
Beijing,CN,39.9042,116.4074,2026-07-27T05:01:33+00:00,4,343.17,0.2,2.11,163.85,8.21,67.45,69.51,3.68
Paris,FR,48.8566,2.3522,2026-07-27T05:01:33+00:00,1,111.75,0,1.25,55.28,0.42,2.1,5.2,3.14
Antananarivo,MG,-18.8792,47.5079,2026-07-27T07:41:59+00:00,2,124.66,0.03,0.11,65.33,0.32,5.65,7.69,0.7
Beijing,CN,39.9042,116.4074,2026-07-27T07:41:59+00:00,4,328.88,0.42,4.52,145.68,8.51,58.88,61.18,7.54
Los Angeles,US,34.0522,-118.2437,2026-07-27T07:41:59+00:00,2,77.78,0,0.66,65.27,0.89,5.11,17.54,0
New Delhi,IN,28.6139,77.209,2026-07-27T07:41:59+00:00,2,163.65,0.1,1.45,83.05,0.58,10.93,13.72,2.82
Paris,FR,48.8566,2.3522,2026-07-27T07:41:59+00:00,1,106.47,0.5,1.71,47.72,0.51,2.26,5.4,3.26
Antananarivo,MG,-18.8792,47.5079,2026-07-27T11:34:36+00:00,2,124.76,0.02,0.13,68.24,0.36,7.08,9.01,0.74
Beijing,CN,39.9042,116.4074,2026-07-27T11:34:37+00:00,4,391.38,0,14.58,80.44,9.39,59.93,64.33,14.48
Los Angeles,US,34.0522,-118.2437,2026-07-27T11:34:37+00:00,2,80.59,0,0.86,62.72,0.92,5.2,17.28,0
New Delhi,IN,28.6139,77.209,2026-07-27T11:34:37+00:00,2,223.95,0.12,7.89,65.92,1.15,12.49,16.02,6.28
Paris,FR,48.8566,2.3522,2026-07-27T11:34:37+00:00,2,103.64,0.13,0.57,68.57,0.51,2.03,3.8,1.69
